Title of debate,Date,Members,Classification,Year
DEATH OF WILD ANIMALS,11/26/2014,Ajmal SirajuddinAshwani KumarP. KumarAsaduddin OwaisiKalikesh Narayan Singh DeoSundar Lal Patwa,,2014
BIODIVERSITY,11/26/2014,C.S. Puttaraju,,2014
ENVIRONMENT CONSERVATION PROGRAMME,11/26/2014,Satish Chandra DubeyJanardan Singh Sigriwal,,2014
GUIDELINES FOR EMERGENCY RESPONSE IN ZOOS,11/26/2014,P.P. ChaudharySanjay Shamrao DhotreShobha KarandlajeBhartruhari MahtabS.P. MuddahanumegowdaJyotiraditya Madhavrao ScindiaT.G. Venkatesh Babu,,2014
PROTECTION OF PEACOCK,11/26/2014,Sakuntala Laguri,,2014
IMPACT OF CLIMATE CHANGE,11/26/2014,Anantkumar Hegde,,2014
POLLUTION CONTROL BOARD,11/26/2014,C. Mahendran,,2014
TIGER PROTECTION FORCE,11/26/2014,Dushyant Singh,,2014
DECLINING TIGER POPULATION,11/26/2014,Ashok Shankarrao ChavanSudheer GuptaGajanan Chandrakant Kirtikar,,2014
INSURANCE COVER FOR DAMAGE CAUSED BY ANIMALS,11/26/2014,Satish Chandra DubeyJanardan Singh Sigriwal,,2014
PROJECTS PENDING FOR ENVIRONMENTAL CLEARANCE,11/26/2014,Chandra Prakash JoshiS.P. MuddahanumegowdaM. B. RajeshKrupal Balaji TumaneNandi Yellaiah,,2014
CARBON TRADING,11/26/2014,Joice George,,2014
IPCC S REPORT ON CLIMATE CHANGE,11/26/2014,Jose K. Mani,,2014
NEW EMISSION NORMS,11/26/2014,Sundar Lal Patwa,,2014
FUNDS FOR CONTROL OF WATER POLLUTION,11/26/2014,Prathap SimhaShivkumar Chanabasappa Udasi,,2014
VIOLATION OF ENVIRONMENTAL NORMS IN CONSTRUCTION,11/26/2014,Sanjay Shamrao DhotreBhartruhari MahtabJagdambika PalYerram Venkata Subbareddy,,2014
FOREST ADVISORY COMMITTEE,11/26/2014,Gopalakrishnan Chinnaraj,,2014
BUFFER ZONE ALONG SANCTUARIES,11/26/2014,Faggan Singh Kulaste,,2014
PLASTIC HAZARDS,11/26/2014,Kirron KherJayshreeben Patel,,2014
WATER QUALITY MONITORING,11/26/2014,Bhagwanth Khuba,,2014
GLOBAL EFFORT ON CLIMATE CHANGE,11/26/2014,Rakesh Singh,,2014
IMPACT OF INDUSTRIAL EFFLUENTS ON AQUATIC ENVIRONMENT,11/26/2014,B. Sreeramulu,,2014
MINING IN FOREST AREAS,11/26/2014,Ashok Shankarrao ChavanGajanan Chandrakant Kirtikar,,2014
MIGRATORY BIRDS,11/26/2014,Om Birla,,2014
FOREST RIGHTS TO VILLAGERS,11/26/2014,Ajay Misra (TENI),,2014
REPORTS ON AIR POLLUTION,11/26/2014,Prem Das Rai,,2014
CHANGES IN FOREST RIGHT ACT,11/26/2014,Shivaji Adhalrao PatilChandu Barne Shrirang,,2014
NORMS FOR POLLUTION CONTROL,11/26/2014,C.R. ChaudharyBidyut Baran Mahato,,2014
POLLUTION FROM COAL BASED POWER PLANTS,11/26/2014,Nepal Singh,,2014
ELEPHANT TUSKS FOR DISPLAY,11/26/2014,J. C. Divakar Reddy,,2014
CONTROL OF RIVER POLLUTION,11/26/2014,Hemant Tukaram GodseInnocentJagdambika PalKapil Moreshwar PatilParvesh Sahib SinghB. Sreeramulu,,2014
COMMITTEE ON GM CROPS,11/26/2014,Kirti (JHA) AzadE.T. Mohammad BashirJitendra ChaudhuryMd. Badaruddoza KhanJose K. ManiP.K. Shreemathi Teacher,,2014
DISCUSSION ON CLIMATE CHANGE AT G SUMMIT,11/26/2014,Shivaji Adhalrao PatilChandu Barne Shrirang,,2014
AIR POLLUTION IN VISAKHAPATNAM,11/26/2014,Hari Babu Kambhampati,,2014
VOLUNTEERS AGAINST WILDLIFE CRIME,11/26/2014,Sanjay Jaiswal,,2014
PENDING PROJECTS,11/26/2014,R. DhruvanarayanaRamdas Chandrabhanji Tadas,,2014
ENVIRONMENTAL CLEARANCE,11/26/2014,P.P. Chaudhary,,2014
ECOLOGICAL CONSERVATION OF SAHYADRI,11/26/2014,Dilip Kumar Mansukhlal Gandhi,,2014
CONSERVATION OF WETLAND LAKES,11/26/2014,Rajendra AgrawalSuresh KodikunnilN. K. PremachandranB. Sreeramulu,,2014
HUMAN ANIMAL CONFLICT,11/26/2014,Nalin Kumar KateelSuresh KodikunnilN. K. PremachandranPrem Das Rai,,2014
JAITAPUR ATOMIC POWER PROJECT,11/26/2014,Harishchandra Deoram Chavan,,2014
CLIMATE CHANGE IMPACT ON TEA PRODUCTION,11/26/2014,Maulana Badruddin Ajmal,,2014
PHASING OUT FOSSIL FUEL,11/26/2014,Anandrao Vithoba AdsulMaheish GirriShivaji Adhalrao PatilChandu Barne ShrirangDharmendra Yadav,,2014
NATIONAL GREEN TRIBUNAL,11/26/2014,Faizal P.P. MohammedJayshreeben Patel,,2014
IMPACT OF GLOBAL WARMING,11/26/2014,Kamla Devi PatleRaju Shetti alias Devappa Anna Shetti,,2014
ENVIRONMENTAL CLEARANCE IN COASTAL AREAS,11/26/2014,Nalin Kumar KateelNanabhau Falgunrao Patole,,2014
MONITORING CENTRES FOR CLIMATE CHANGE,11/26/2014,Om Birla,,2014
ENVIRONMENT REGULATORY MECHANISM,11/26/2014,P.K. Shreemathi Teacher,,2014
ENVIRONMENTALLY SENSITIVE ZONE,11/26/2014,Nishikant DubeyNalin Kumar KateelShivaji Adhalrao PatilChandu Barne ShrirangDharmendra Yadav,,2014
BAN ON HYDRO FLUORO CARBONS,11/26/2014,Sumedhanand Saraswati,,2014
AFFORESTATION PROGRAMMES,11/26/2014,Yogi AdityanathSuresh KodikunnilGeetha KothapalliSunil Kumar MondalSeetaram Ajmeera NaikBheemrao Baswanthrao PatilSushil Kumar SinghPonnusamy VenugopalB.S. Yaddyurappa,,2014
DIVERSION OF FOREST LAND FOR ROADS,11/26/2014,Ponnusamy Venugopal,,2014
FOREST LAND FOR AGRICULTURE,11/26/2014,Suresh Kodikunnil,,2014
ACTION PLAN ON CLIMATE CHANGE,8/13/2014,Prem Singh ChandumajraAshok Shankarrao ChavanSunil Baliram GaikwadDilip Kumar Mansukhlal GandhiHeena Vijayakumar GavitDhananjay Bhimrao MahadikVijaysinh Mohite PatilN. K. PremachandranRajeev Shankarrao SatavShrikant Eknath ShindeSupriya Sule,,2014
LIGHT POLLUTION,8/13/2014,R. Radhakrishnan,,2014
TIGER RESERVES,8/13/2014,Vijay Kumar HansdakSuresh KodikunnilPrahlad Singh PatelShrikant Eknath ShindeT.G. Venkatesh Babu,,2014
ENVIRONMENTAL CLEARANCE FOR MINING,8/13/2014,P.C. GaddigoudarRajesh Ranjan (Pappu Yadav)Ranjeet Ranjan,,2014
FOREST SURVEY,8/13/2014,Ram Kumar Sharma,,2014
ENCROACHMENT IN WILDLIFE SANCTUARIES NATIONAL PARKS,8/13/2014,Maulana Badruddin Ajmal,,2014
BIRD SANCTUARIES,8/13/2014,Anoop Mishra,,2014
POLAVARAM PROJECT,8/13/2014,Baijayant Jay Panda,,2014
PROTECTION OF MAHSEER FISH,8/13/2014,Suresh Kodikunnil,,2014
ENVIRONMENTAL CLEARANCE TO PORT,8/13/2014,Jayadev Galla,,2014
INTER LINKING OF SANCTUARIES,8/13/2014,P.P. ChaudharyBheemrao Baswanthrao Patil,,2014
DEGRADED FOREST LAND FOR CULTIVATION,8/13/2014,P.P. ChaudharyChandra Prakash JoshiNaranbhai Kachhadia,,2014
EXPLOITATION OF FORESTS,8/13/2014,Nishikant DubeyDilip Kumar Mansukhlal GandhiPrahlad JoshiNalin Kumar KateelBalabhadra MajhiAnupriya Singh PatelC.S. Puttaraju,,2014
KILLING OF ANIMALS,8/13/2014,Dilip Kumar Mansukhlal GandhiP.C. Mohan,,2014
WETLAND CONSERVATION,8/13/2014,Feroze Varun GandhiKristappa NimmalaN. K. Premachandran,,2014
COASTAL POLLUTION,8/13/2014,Kapil Moreshwar Patil,,2014
TREE CENSUS,8/13/2014,Feroze Varun GandhiBalabhadra Majhi,,2014
ILLEGAL STONE MINING,8/13/2014,Bhartruhari Mahtab,,2014
COOPERATION ON CLIMATE CHANGE,8/13/2014,Bheemrao Baswanthrao Patil,,2014
STUDY ON INDUSTRIAL POLLUTION,8/13/2014,P.P. ChaudharyRam Tahal ChoudharyPrahlad JoshiChandrakant Bhaurao KhaireBaijayant Jay PandaJayshreeben PatelKamla Devi Patle,,2014
FOREST FIRE,8/13/2014,Bhuwan Chandra Khanduri,,2014
CONVERSION OF FOREST LAND INTO LAND BANK,8/13/2014,Hansraj Gangaram Ahir,,2014
WASTE MANAGEMENT,8/13/2014,Arjun Ram MeghwalRamesh Pokhriyal Nishank,,2014
NATIONAL BOARD OF WILD LIFE,8/13/2014,M. B. Rajesh,,2014
PROTECTION OF LEOPARD,8/13/2014,Feroze Varun Gandhi,,2014
DELEGATION OF POWER FOR ENVIRONMENT CLEARANCE,8/13/2014,Kirit Premjibhai Solanki,,2014
ASSISTANCE FOR REHABILITATION,8/13/2014,Hansraj Gangaram Ahir,,2014
MINERALS IN FORESTS,8/13/2014,Bhairon Prasad Mishra,,2014
SELF CERTIFICATION NOTIFICATION,8/13/2014,Bheemrao Baswanthrao PatilShivaji Adhalrao PatilChandu Barne Shrirang,,2014
IMPACT OF CARBON EMISSION,8/13/2014,M. K. Raghavan,,2014
FLAPSHELL TURTLE,8/13/2014,Feroze Varun Gandhi,,2014
SEA PORT AT HONNAVAR,8/13/2014,Shobha KarandlajePrathap Simha,,2014
RECKLESS MINING,8/13/2014,Jayadev GallaVinayak Bhaurao Raut,,2014
DEVELOPMENT OF WILDLIFE SANCTUARIES,8/13/2014,Sona Ram,,2014
ENVIRONMENT AWARENESS CAMPAIGN,8/13/2014,Arvind Ganpat SawantRahul Ramesh ShewaleKrupal Balaji Tumane,,2014
ILLEGAL TRADE OF MARINE SPECIES,8/13/2014,T.G. Venkatesh Babu,,2014
POLLUTION IN LAKES AND RIVERS,8/13/2014,Jugal Kishore Sharma,,2014
DECLINE IN VULTURE EAGLE POPULATION,8/13/2014,P.P. Chaudhary,,2014
LAND DIVERSION IN KUTCH,8/13/2014,Vinod ChavdaDarshana Vikram JardoshNaranbhai Kachhadia,,2014
NILGIRI BIOSPHERE,08/06/14,Ramachandran Mullappally,,2014
POLLUTION SOIL EROSION IN DESERTS,08/06/14,Sona Ram,,2014
ENVIRONMENT PROTECTION,08/06/14,Anto AntonyN. K. Premachandran,,2014
ENFORCEMENT OF ENVIRONMENT NORMS,08/06/14,Rama DeviChandrakant Bhaurao Khaire,,2014
MERCURY LEVELS IN CFL,08/06/14,Noor Mausam,,2014
CLEARANCE FOR OIL AND GAS PIPELINES,08/06/14,Darshana Vikram JardoshMohanbhai Kalyanjibhai KundariyaShivaji Adhalrao PatilDipsinh Shankarsinh RathodChandu Barne Shrirang,,2014
CONVERSION OF FOREST VILLAGES,08/06/14,Ganesh Singh,,2014
BIO DIVERSITY CONSERVATION CENTRE,08/06/14,M. B. Rajesh,,2014
POACHING OF ELEPHANTS,08/06/14,Gopalakrishnan ChinnarajShobha KarandlajeNalin Kumar KateelBidyut Baran MahatoPrathap Simha,,2014
CLASSIFICATION OF PLANTS,08/06/14,Prahlad Singh Patel,,2014
MANGROVE CONSERVATION,08/06/14,Feroze Varun GandhiRamachandran Mullappally,,2014
TIPAIMUKH HYDRO POWER PROJECT,08/06/14,P.C. Mohan,,2014
DIRECTIONS OF COURT ON CAMPA,08/06/14,Prem Singh ChandumajraJitendra ChaudhuryNaranbhai KachhadiaKamla Devi Patle,,2014
POLLUTION CAUSED BY INDUSTRIAL UNITS,08/06/14,Vinod Kumar Boianapalli,,2014
POLLUTION CONTROL BOARD,08/06/14,Shashi Tharoor,,2014
COASTAL ZONE MANAGEMENT,08/06/14,Naranbhai KachhadiaSaugata Roy,,2014
GREEN CREDIT SCHEME,08/06/14,Anto AntonyNaranbhai KachhadiaRamsinh Pataliyabhai Rathwa,,2014
BIO DIVERSITY PROTOCOL,08/06/14,Prahlad Singh Patel,,2014
OZONE BUILD UP,08/06/14,Jyotiraditya Madhavrao Scindia,,2014
CONSERVATION OF BLACKBUCK,08/06/14,Sumedhanand Saraswati,,2014
EMISSION NORMS,08/06/14,B.V. Nayak,,2014
DESERT NATIONAL PARK,08/06/14,Sona Ram,,2014
COMMERCIAL EXPLOITATION OF DEGRADED OPEN FORESTS,08/06/14,Vinod Kumar Boianapalli,,2014
WATER CESS,08/06/14,Kamlesh Paswan,,2014
LINEAR PROJECTS IN TRIBAL AREAS,08/06/14,Anandrao Vithoba AdsulDharmendra Yadav,,2014
TREATMENT OF HAZARDOUS WASTE,08/06/14,Charanjit Singh Rori,,2014
ACTION PLAN ON CLIMATE CHANGE,08/06/14,Vijay Kumar HansdakM. B. Rajesh,,2014
EROSION OF RESERVE FORESTS,08/06/14,Bijoya Chakravarty,,2014
WETLAND IN NCR,08/06/14,Dushyant Chautala,,2014
DIVERSION OF FOREST LAND,08/06/14,Hansraj Gangaram AhirGopalakrishnan ChinnarajAshok Mahadeorao Nete,,2014
FELLING OF TREES,08/06/14,Kristappa Nimmala,,2014
PROTECTION OF FORESTS AND WILDLIFE,08/06/14,Ajmal SirajuddinBidyut Baran MahatoM. B. Rajesh,,2014
DEMARCATION OF ECO SENSITIVE AREAS,08/06/14,Om BirlaPrahlad Joshi,,2014
RING ROAD AROUND GIR FORESTS,08/06/14,Chandrakant Raghunath Patil,,2014
PENDING POWER PROJECTS,08/06/14,P.K. Biju,,2014
ERODING COASTLINE,08/06/14,Devusinh Jesingbhai ChauhanDarshana Vikram JardoshKirit Premjibhai Solanki,,2014
PROTECTION OF PEACOCKS,08/06/14,Sumedhanand Saraswati,,2014
PROMOTION OF FOREST PRODUCES,08/06/14,Ashok Shankarrao ChavanShrikant Eknath ShindeKunwar Haribansh Singh,,2014
DECLARATION OF ECO SENSITIVE ZONES AROUND NATIONAL PARKS SANCTUARIES,08/06/14,Sona RamSaugata Roy,,2014
MINING OF MINOR MINERALS,08/06/14,Chand Nath,,2014
FOREST TYPES,08/06/14,Jitendra Chaudhury,,2014
ENVIRONMENT IMPACT ASSESSMENT AUTHORITY,7/30/2014,Mohanbhai Kalyanjibhai KundariyaM. B. RajeshDipsinh Shankarsinh Rathod,,2014
LICENCE TO WOOD INDUSTRY,7/30/2014,Narendra Keshav Sawaikar,,2014
NATIONAL MISSION TO SUSTAIN HIMALAYAN ECOSYSTEM,7/30/2014,Thokchom Meinya,,2014
ECOSYSTEM RESEARCH CENTRE,7/30/2014,Baijayant Jay Panda,,2014
POLLUTION BY INDUSTRIAL UNITS,7/30/2014,Kulamani Samal,,2014
YAMUNA ACTION PLAN,7/30/2014,Chand Nath,,2014
MONITORING FOREST COVER,7/30/2014,Bidyut Baran Mahato,,2014
CLEARANCE FOR INLAND WATERWAYS,7/30/2014,Sadashiv Kisan LokhandeAshok Mahadeorao Nete,,2014
REDD,7/30/2014,Narasimham Thota,,2014
FOREST ADVISORY COMMITTEE,7/30/2014,Asaduddin Owaisi,,2014
FOREST COVER IN TELANGANA,7/30/2014,Ponguleti Srinivasa Reddy,,2014
LANDFILL OVERFLOW,7/30/2014,B. Sreeramulu,,2014
IMPACT OF HYDRO POWER PROJECT IN HIMALAYAN REGION,7/30/2014,Yogi AdityanathPoonamben Hematbhai Maadam,,2014
WILDLIFE AND FORESTS CRIMES,7/30/2014,Faggan Singh Kulaste,,2014
CRUELTY TO ANIMALS,7/30/2014,Radheshyam Biswas,,2014
STUDY ON RIVER POLLUTION,7/30/2014,Ramesh BidhuriRam CharitraSanjay JaiswalBanshilal MahtoKamlesh PaswanSupriya Sule,,2014
PROTECTING WILDLIFE DIVERSITY,7/30/2014,Ajmal SirajuddinDushyant Chautala,,2014
CLEARANCE TO STONE MINING,7/30/2014,Manoj Rajoria,,2014
CONSTRUCTION ACTIVITIES IN TIGER RESERVES,7/30/2014,Joice George,,2014
VETERINARY HOSITALS,7/30/2014,Aparupa Poddar,,2014
NATIONAL BOARD OF WILDLIFE,7/30/2014,Jitendra ChaudhurySushmita Dev,,2014
PLANTATION ALONG ROADS,7/30/2014,Pashupati Nath Singh,,2014
DEVELOPMENTAL ACTIVITIES IN COASTAL AREAS,7/30/2014,Kapil Moreshwar PatilArvind Ganpat SawantRajan Baburao Vichare,,2014
MINING IN FORESTS,7/30/2014,Ramesh Pokhriyal Nishank,,2014
SIMPLIFICATION OF ENVIRONMENT CLEARANCE PROCEDURE,7/30/2014,R.K. Bharathi MohanSupriya SuleRamdas Chandrabhanji TadasDharmendra YadavNandi Yellaiah,,2014
INVOLVEMENT OF NGOS IN AFFORESTATION,7/30/2014,Krupal Balaji Tumane,,2014
FOREST COVER,7/30/2014,Narasimham Thota,,2014
ACCESS FACILITY TO REMOTE FORESTS,7/30/2014,N. K. Premachandran,,2014
PENDING IRRIGATION PROPOSALS,7/30/2014,Ashok Mahadeorao NeteManoj Rajoria,,2014
COMMUNITY RESERVES,7/30/2014,Prahlad Joshi,,2014
BAMBOO HARVESTING,7/30/2014,Geetha KothapalliAsaduddin Owaisi,,2014
SALE AND EXPORT OF EXOTIC BIRDS,7/30/2014,Feroze Varun Gandhi,,2014
BRICK KILNS,7/30/2014,R. Dhruvanarayana,,2014
OIL SPILLS IN THE COASTS,7/30/2014,T.G. Venkatesh Babu,,2014
MONITORING OF NATURAL RESOURCES,7/30/2014,Baijayant Jay Panda,,2014
DIVERSION OF LAND IN KUTCH,7/30/2014,Kirit Premjibhai Solanki,,2014
VEHICULAR POLLUTION,7/30/2014,Ram CharitraSaugata Roy,,2014
PLASTIC WASTE MANAGEMENT,7/30/2014,Prahlad JoshiArun KumarAsaduddin Owaisi,,2014
OLIVE RIDLEY CONSERVATION,7/30/2014,Narasimham Thota,,2014
GARBAGE DISPOSAL IN PILGRIM CENTRES,7/30/2014,Chhotey LalDevji PatelSunil Kumar Singh,,2014
PROTECTION OF ARAVALLIS,7/30/2014,R. Dhruvanarayana,,2014
CONSENT OF VILLAGE COUNCIL FOR WILDLIFE PARKS,7/30/2014,Asaduddin Owaisi,,2014
ILLEGAL SAND MINING,7/30/2014,P.C. GaddigoudarSanganna Amarappa KaradiDevji Patel,,2014
BIO DIVERSITY,7/30/2014,P.C. MohanAnurag Singh Thakur,,2014
VEHICLE POLLUTION CHECKING,7/30/2014,B.V. Nayak,,2014
COASTAL HAZARD LINE MAPPING,7/30/2014,Ramachandran Mullappally,,2014
CLIMATE CHANGE,7/30/2014,Santosh AhlawatGopalakrishnan ChinnarajSuresh KodikunnilB.V. NayakRaju Shetti alias Devappa Anna ShettiGanesh SinghT.G. Venkatesh Babu,,2014
GUIDELINES FOR ZOOS,7/30/2014,Om Birla,,2014
CLEARANCE FOR SMARAKS,7/30/2014,Hansraj Gangaram AhirSadashiv Kisan Lokhande,,2014
DIVERSION OF FOREST LAND,7/23/2014,Virendra Kumar,,2014
ECO TOURISM,7/23/2014,Bishnu Pada Ray,,2014
POLLUTION MANAGEMENT PROJECTS,7/23/2014,P.C. Gaddigoudar,,2014
SEWAGE TREATMENT,7/23/2014,Ravindra Vishwanath GaikwadNaranbhai KachhadiaKalikesh Narayan Singh Deo,,2014
WILDLIFE PROTECTION ACT,7/23/2014,P.P. Chaudhary,,2014
DECLINING BIRD POPULATION,7/23/2014,Prahlad Joshi,,2014
CLEARANCE TO SEA LINK PROJECTS,7/23/2014,Ashok Mahadeorao Nete,,2014
WATER QUALITY MONITORING,7/23/2014,Sanganna Amarappa Karadi,,2014
ENVIRONMENT CLEARANCE FOR PROJECTS,7/23/2014,R. DhruvanarayanaNinong EringFaggan Singh KulasteBanshilal MahtoAshok Mahadeorao NeteNagendra KumarPonguleti Srinivasa ReddyAnurag Singh Thakur,,2014
UTTARAKHAND CALAMITY,7/23/2014,Anurag Singh ThakurT.G. Venkatesh Babu,,2014
CONSERVATION OF MANGROVES,7/23/2014,Poonam Mahajan,,2014
IMPACT OF HYDRO POWER PROJECTS ON ENVIRONMENT,7/23/2014,Md. Badaruddoza Khan,,2014
PROVISIONS OF CRZ,7/23/2014,Ashok Shankarrao Chavan,,2014
REVIEW OF TIGER CONSERVATION PROGRAMMES,7/23/2014,Sanjay JaiswalJayshreeben Patel,,2014
ONLINE SYSTEM FOR APPLICATION SUBMISSION,7/23/2014,Poonam Mahajan,,2014
ACTION PLAN ON CLIMATE CHANGE,7/23/2014,Sanjay JaiswalSaugata Roy,,2014
CRITICAL WILDLIFE HABITAT,7/23/2014,P.P. Chaudhary,,2014
FUNDS UNDER ACTION PLAN ON CLIMATE CHANGE,7/23/2014,Anurag Singh Thakur,,2014
CLEARANCE FOR AIRPORT PROJECTS,7/23/2014,B.V. Nayak,,2014
ENCROACHMENTS IN DELHI RIDGE,7/23/2014,M. Udhayakumar,,2014
SANCTUARIES IN ARAVALLIS,7/23/2014,Manoj Rajoria,,2014
WETLAND CONSERVATION PROGRAMME,7/23/2014,Shivkumar Chanabasappa Udasi,,2014
VIOLATION OF ENVIRONMENTAL NORMS,7/23/2014,Bidyut Baran Mahato,,2014
REDD CONSERVATION PROGRAMME,7/23/2014,M. K. Raghavan,,2014
FOREST LAND DIVERSION,7/23/2014,Dushyant ChautalaSadashiv Kisan Lokhande,,2014
RESEARCH LABORATORIES IN TIGER RESERVES,7/23/2014,Prahlad Singh Patel,,2014
CARBON EMISSION NORMS,7/23/2014,Rajiv Pratap Rudy,,2014
VETERINARY TREATMENT FACILITY IN ZOOS,7/23/2014,Mohammad Idris Ali,,2014
FOREST ENCROACHMENTS,7/23/2014,Poonam MahajanKamakhya Prasad Tasa,,2014
CONSTRUCTION IN PRIVATE FORESTS,7/23/2014,Kapil Moreshwar PatilRajan Baburao Vichare,,2014
APPOINTMENTS IN SPCB,7/23/2014,P.C. Mohan,,2014
RE INTRODUCTION OF CHEETAH,7/23/2014,Prahlad Singh Patel,,2014
DEVELOPMENT OF SANCTUARIES AND PARKS,7/23/2014,Yogi AdityanathOm BirlaP.P. ChaudharyPoonamben Hematbhai Maadam,,2014
PROTECTION OF GULF OF KUTCH,7/23/2014,Ramsinh Pataliyabhai Rathwa,,2014
VIOLATION OF POLLUTION NORMS,7/23/2014,Shobha KarandlajePrathap SimhaHukum Singh,,2014
BAN ON GM CROPS,7/23/2014,Feroze Varun Gandhi,,2014
VIOLATION OF POLLUTION NORMS BY INDUSTRIES,7/23/2014,Sadashiv Kisan LokhandeBanshilal MahtoSupriya Sule,,2014
GREEN CLIMATE FUND,7/23/2014,M.I. Shanavas,,2014
GREAT INDIAN BUSTARD,7/23/2014,Sona RamRajesh Ranjan (Pappu Yadav)Ranjeet Ranjan,,2014
TEAK PLANTATION,7/23/2014,Prahlad Joshi,,2014
CORPORATE ENVIRONMENTAL RESPONSIBILITY,7/23/2014,Shivaji Adhalrao PatilChandu Barne Shrirang,,2014
MEDICINAL PLANTS,7/23/2014,Feroze Varun Gandhi,,2014
IMPACT OF POLLUTION IN CITIES,7/23/2014,P. KarunakaranKristappa NimmalaRajiv Pratap Rudy,,2014
INCLUSION OF RIVERS IN NRCP,7/23/2014,Ashok Shankarrao ChavanRavindra Vishwanath GaikwadSanganna Amarappa KaradiShailesh Kumar(Bulo Mandal)Banshilal Mahto,,2014
DEATHS OF WILD ANIMALS,7/23/2014,Adhir Ranjan ChowdhuryNishikant DubeyC.S. Puttaraju,,2014
BAN ON POLYTHENE BAGS,7/23/2014,Nalin Kumar KateelPrathap Simha,,2014
PROTECTION OF ELEPHANTS,7/23/2014,P.C. GaddigoudarLaxman GiluwaSunil Kumar Singh,,2014
ILLEGAL TRADE OF ANIMAL PARTS,7/16/2014,Shivaji Adhalrao PatilChandu Barne Shrirang,,2014
AFFORESTATION PROGRAMMES,7/16/2014,Jayshreeben Patel,,2014
E WASTE MANAGEMENT,7/16/2014,Dushyant ChautalaSuresh Kodikunnil,,2014
SOCIO ECONOMIC SURVEY OF FOREST DWELLERS,7/16/2014,Dhananjay Bhimrao MahadikRajeev Shankarrao Satav,,2014
RISING SEA LEVEL,7/16/2014,Anurag Singh Thakur,,2014
FOREST COVER,7/16/2014,Naranbhai KachhadiaK. C. Venugopal,,2014
SMALL SCALE MINES,7/16/2014,N. K. Premachandran,,2014
CLIMATE CHANGE STUDIES AND ACTIONS,7/16/2014,Rajesh Ranjan (Pappu Yadav)Ranjeet Ranjan,,2014
CLIMATE CHANGE DISCUSSIONS,7/16/2014,M.I. Shanavas,,2014
PROPOSALS FROM NORTH EAST,7/16/2014,Maulana Badruddin Ajmal,,2014
POLLUTION LEVEL,7/16/2014,B. Sreeramulu,,2014
MELTING OF GLACIERS,7/16/2014,Raju Shetti alias Devappa Anna Shetti,,2014
ECO-SENSITIVE-ZONE,7/16/2014,P.P. Chaudhary,,2014
NEW ZOOS,7/16/2014,Yogi Adityanath,,2014
GLOBAL WARMING,7/16/2014,B.V. NayakB. Sreeramulu,,2014
EXTINCTION OF RARE SPECIES,7/16/2014,Dushyant Chautala,,2014
CLEARANCE TO DEFENCE PROJECTS,7/16/2014,Virendra Kumar,,2014
WATER POLLUTION BY INDUSTRIES,7/16/2014,Hukum Singh,,2014
BIO-DIVERSITY OF WESTERN GHATS,7/16/2014,Dilip Kumar Mansukhlal Gandhi,,2014
IMPACT OF MINING ON WILD LIFE,7/16/2014,Ram Tahal ChoudharyRama Devi,,2014
NATIONAL GREEN TRIBUNAL,7/16/2014,Harishchandra Deoram Chavan,,2014
TIGER PROTECTION FORCE,7/16/2014,P.P. Chaudhary,,2014
CONSERVATION OF RIVERS,7/16/2014,Bhartruhari MahtabJagdambika PalRavneet Singh,,2014
ENVIRONMENTAL CONSCIOUSNESS,7/16/2014,Nagendra Kumar,,2014
MUKUNDARA HILLS TIGER RESERVE,7/16/2014,Om Birla,,2014
CONSTRUCTION IN COASTAL AREAS,7/16/2014,Faizal P.P. MohammedM.I. Shanavas,,2014
GO AND NO-GO FOREST AREAS,7/16/2014,Jose K. Mani,,2014
WORLD BANK ASSISTANCE FOR ENVIRONMENTAL PROJECTS,7/16/2014,Kinjarapu Ram Mohan Naidu,,2014
CAMPA,7/16/2014,Om Birla,,2014
IMPACT OF RADIATION ON WILDLIFE,7/16/2014,Hansraj Gangaram Ahir,,2014
EXPANSION OF DUMNA AIRPORT,7/16/2014,Rakesh Singh,,2014
PLANTATION OF FRUIT BEARING TREES,7/16/2014,Kaushalendra Kumar,,2014
ASSISTANCE FOR POLLUTION CONTROL,7/16/2014,Nishikant Dubey,,2014
FOREST CONSERVATION IN NAXAL AREAS,7/16/2014,Ramachandran Mullappally,,2014
UTILISATION OF FLY ASH,7/16/2014,Jayadev Galla,,2014
POLLUTING INDUSTRIES,7/16/2014,Nalin Kumar KateelKristappa NimmalaBaijayant Jay Panda,,2014
GANGA ACTION PLAN,7/16/2014,M. Thambi Durai,,2014
POLLUTION FROM THERMAL PLANTS,7/16/2014,Kaushalendra Kumar,,2014
RHINOCEROS,7/16/2014,Rajen Gohain,,2014
GREEN INDIA MISSION,7/16/2014,Ramachandran MullappallyN. K. Premachandran,,2014
PROJECTS PENDING FOR ENVIRONMENTAL CLEARANCE,7/16/2014,Om BirlaFaizal P.P. MohammedKamla Devi PatleKinjarapu Ram Mohan Naidu,,2014
INTERNATIONAL HUB AIRPORT,7/16/2014,Ashok Shankarrao Chavan,,2014
DELINKING OF ENVIRONMENT AND FOREST CLEARANCE,7/16/2014,Noor Mausam,,2014
CRITICALLY POLLUTED AREAS,7/16/2014,Chandrakant Raghunath Patil,,2014
CRZ NOTIFICATION,7/16/2014,Faizal P.P. Mohammed,,2014
GANGA RIVER BASIN MANAGEMENT,7/16/2014,Shobha KarandlajePrathap Simha,,2014
